occurrence_id,repository,path,role,dialect,parent,field_or_range,access,occurrence_count,aliases,policy,cii_projection,loss_risk
O-001,reallaksh19/3D_Converters,converters/scripts/inputxml_to_cii2019.py,CII authority,D-001,CAESARII,VERSION|XML_TYPE|xmlns,READ,3,,XML_TYPE currently not enforced,,permissive root
O-002,reallaksh19/3D_Converters,converters/scripts/inputxml_to_cii2019.py,CII authority,D-001,PIPINGMODEL,JOBNAME|TIME,READ,2,,TIME fallback current time,CONTROL/header,implicit default
O-003,reallaksh19/3D_Converters,converters/scripts/inputxml_to_cii2019.py,CII authority,D-001,PIPINGMODEL,ISSUE_NO|NUMELT|NUMNOZ|NOHGRS|NUMBEND|NUMRIGID|NUMEXPJNT|NUMREST|NUMFORCMNT|NUMUNFLOAD|NUMWIND|NUMELEOFF|NUMALLOW|NUMISECT|NORTH_X|NORTH_Y|NORTH_Z,NOT_READ/RECOMPUTE,17,,source counts not preflighted,CONTROL,count divergence
O-004,reallaksh19/3D_Converters,converters/scripts/inputxml_to_cii2019.py,CII authority,D-001,PIPINGELEMENT,FROM_NODE|TO_NODE,READ,2,,effectively required,ELEMENTS/REL,invalid identity
O-005,reallaksh19/3D_Converters,converters/scripts/inputxml_to_cii2019.py,CII authority,D-001,PIPINGELEMENT,DELTA_X|DELTA_Y|DELTA_Z,READ,3,,missing currently zero,ELEMENTS/COORDS,fabricated zero
O-006,reallaksh19/3D_Converters,converters/scripts/inputxml_to_cii2019.py,CII authority,D-001,PIPINGELEMENT,DIAMETER|WALL_THICK|INSUL_THICK|CORR_ALLOW,READ,4,WALL_THICKNESS|WALLTHICK;INSULATION_*;CORROSION_*,carry/default,ELEMENTS,compatibility default
O-007,reallaksh19/3D_Converters,converters/scripts/inputxml_to_cii2019.py,CII authority,D-001,PIPINGELEMENT,TEMP_EXP_C1..C9,READ,9,TEMP_EXPCn|TEMPEXPCn,carry/default,ELEMENTS,implicit inheritance
O-008,reallaksh19/3D_Converters,converters/scripts/inputxml_to_cii2019.py,CII authority,D-001,PIPINGELEMENT,PRESSURE_C1..C9,READ,9,PRESSURE1..9,carry/default,ELEMENTS,live dialect split
O-009,reallaksh19/3D_Converters,converters/scripts/inputxml_to_cii2019.py,CII authority,D-001,PIPINGELEMENT,INSUL_DENSITY|FLUID_DENSITY|HYDRO_PRESSURE|MATERIAL_NUM,READ,4,INSULATION_DENSITY|FLUIDDENSITY|HYDROTEST_PRESSURE|MATERIAL_NUMBER,carry/default,ELEMENTS/MISCEL_1,implicit inheritance
O-010,reallaksh19/3D_Converters,converters/scripts/inputxml_to_cii2019.py,CII authority,D-001,PIPINGELEMENT,FROM_NAME|TO_NAME|LINE|LINE_ID,READ,4,LINE_ID,conditional,NODENAME/line labels,alias ambiguity
